date,stock_id,stock_name
2025-01-15,3363,上詮
2025-01-15,3376,新日興
2025-01-15,3406,玉晶光
2025-01-15,3443,創意
2025-01-15,3450,聯鈞
2025-01-15,3491,昇達科
2025-01-15,3551,世禾
2025-01-15,3645,達邁
2025-01-15,3661,世芯-KY
2025-01-15,3694,海華
2025-01-15,3706,神達
2025-01-15,4303,信立
2025-01-15,4510,高鋒
2025-01-15,4540,全球傳動
2025-01-15,4549,桓達
2025-01-15,4561,健椿
2025-01-15,4562,穎漢
2025-01-15,4571,鈞興-KY
2025-01-15,4576,大銀微系統
2025-01-15,4583,台灣精銳
2025-01-15,4772,台特化
2025-01-15,4912,聯德控股-KY
2025-01-15,4919,新唐
2025-01-15,4931,新盛力
2025-01-15,4968,立積
2025-01-15,4974,亞泰
2025-01-15,4977,眾達-KY
2025-01-15,4979,華星光
2025-01-15,4991,環宇-KY
2025-01-15,5243,乙盛-KY
2025-01-15,5309,系統電
2025-01-15,5347,世界
2025-01-15,5371,中光電
2025-01-15,5388,中磊
2025-01-15,5392,能率
2025-01-15,5439,高技
2025-01-15,5474,
2025-01-15,5522,遠雄
2025-01-15,5536,聖暉*
2025-01-15,6104,創惟
2025-01-15,6187,萬潤
2025-01-15,6191,精成科
2025-01-15,6214,精誠
