date,stock_id,stock_name,close,avg_amount_20d,big_amount,today_amount
2025-10-16,3016,嘉晶,55.8,843667962.6,3500000,327850264.0
2025-10-16,3189,景碩,134.5,1987614582.65,8000000,4117754864.0
2025-10-16,3324,雙鴻,996.0,7002175082.4,28000000,10464127663.0
2025-10-16,5536,聖暉*,880.0,1474310594.9,6000000,2342128654.0
2025-10-16,6139,亞翔,451.0,2264622312.6,9000000,5965293276.0
2025-10-16,6217,中探針,56.1,679945916.75,2500000,1339345020.0
2025-10-16,8028,昇陽半導體,179.0,2210976360.9,9000000,2222598149.0
2025-10-16,8046,南電,281.5,7321095079.7,29000000,12796388304.0
2025-10-16,8271,宇瞻,102.5,968689445.55,4000000,2769304596.0
2025-10-16,8996,,506.0,1882313582.3,7500000,10052288375.0
2025-10-17,1605,華新,29.85,2977770958.85,12000000,4578305707.0
